"worksheet_id","reviewer_slot","pack_id","question_id","question_content_sha256","english_correct","answer_unique","explanation_correct","hint_safe","asset_consistent","rights_clear","age_appropriate","verdict","review_note","failed_criteria_notes","suggested_revision"
"draft-3c9686dac6674cc4-teacher-02-001","teacher-02","draft-3c9686dac6674cc4","g3-diagnostic-uppercase-lowercase-01","a386f3b6ba8a57ccb82f8ae1e3ff2a8c773e53f29a9d34e74ef0c4ba3185f48a","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-002","teacher-02","draft-3c9686dac6674cc4","g3-diagnostic-letter-listening-01","b3df4803baa3e53052d1e2e8c45901966aaeab87a237f2c9f499cfafdce5e7ae","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-003","teacher-02","draft-3c9686dac6674cc4","g3-diagnostic-letter-writing-01","6c1eb3c6ef1ecc0a4443c61c53fe6a9fc0c8727b87658811ab6927f96c94cd4d","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-004","teacher-02","draft-3c9686dac6674cc4","g3-diagnostic-phonological-awareness-01","0489a625105a721e36eb016c0161cd8913b87a7036d92fbc4500e7817d7d116e","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-005","teacher-02","draft-3c9686dac6674cc4","g3-diagnostic-cvc-01","3ab8efdcd690c3a5dd20b195a4feb956a447e312409f86c7f7a44e94e9906a28","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-006","teacher-02","draft-3c9686dac6674cc4","g3-cvc-practice-01","236b0307694eee81bd24b8c3fc0a13c8970807fd43868a01b802e16869dae10c","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-007","teacher-02","draft-3c9686dac6674cc4","g3-cvc-practice-02","f944678b1e1cf9baa6fa28c0b49afee3f471a85d8b3b6dbf8ba7be2ca262d662","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-008","teacher-02","draft-3c9686dac6674cc4","g3-cvc-practice-03","00f705a57fb576a4e510929fae3f0e6888a35c8d7d370f628828a69291e34542","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-009","teacher-02","draft-3c9686dac6674cc4","g3-cvc-practice-04","91fef5d95480ce78462d6e15e2934a3f06715587a0624c84e8c4cb3292adcf3a","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-010","teacher-02","draft-3c9686dac6674cc4","g3-cvc-practice-05","11984a84993afb7398d07db061f5dc3eecc88ddbcb7de798c745f35d624b1044","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-011","teacher-02","draft-3c9686dac6674cc4","g3-cvc-boss-01","c4ea481c8d0122344fc7949ecc9ba4255a9d9bd3e999b781de1a1c95725fba63","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-012","teacher-02","draft-3c9686dac6674cc4","g3-cvc-rescue-01","ee0c7cdb643aed238f92482016fc368273f43aaf5fdd9c2f57f2eb8ddd92b7fa","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-013","teacher-02","draft-3c9686dac6674cc4","g3-cvc-rescue-02","d0b139e1416a6b354f84396429212862512f83f90848aafe42b213d82917981a","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-014","teacher-02","draft-3c9686dac6674cc4","g3-cvc-review-01","3386f84bf0d9cefd8be293be316364b1827a71d598ff65ea27fe5b261f943f42","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-015","teacher-02","draft-3c9686dac6674cc4","g3-cvc-review-02","b043d9057e8ce50fed8087c22045f5ed99f3a0cdc7ac6a94bd5974fbd62fc925","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-016","teacher-02","draft-3c9686dac6674cc4","g4-diagnostic-image-sentence-01","a419441b71d48c45f428ed60d37b6caf4800902c148e2c2febefa9d649f8785e","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-017","teacher-02","draft-3c9686dac6674cc4","g4-diagnostic-affirmative-negative-01","72a47c4de836b0122c3c6fa5ebdd25e5b06d1e064b65a6568f6bfef697cd64dc","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-018","teacher-02","draft-3c9686dac6674cc4","g4-diagnostic-this-that-01","3bf599a4a32f8cb6a8a9a34ecde61e5525ab67fb46d3a3303c326eef7db3866f","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-019","teacher-02","draft-3c9686dac6674cc4","g4-diagnostic-yes-no-01","8440c17d75ed7dd2bc610d5116c533d96d87210d7a5e76a61fcb229832bd4855","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-020","teacher-02","draft-3c9686dac6674cc4","g4-diagnostic-cvc-01","c77a67bc3a488f08ed7b577bb2c2701bc5d386ddd56e052b97acae9c38122a8d","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-021","teacher-02","draft-3c9686dac6674cc4","g4-yes-no-practice-01","68f96fac5b8ee16921f0ae988fa3693477cd354f0f8df4a1cce558187c1accfa","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-022","teacher-02","draft-3c9686dac6674cc4","g4-yes-no-practice-02","7a1403b75764ccd94e67bc968a0f73aa9014c72eac457428a8381f087419bf85","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-023","teacher-02","draft-3c9686dac6674cc4","g4-yes-no-practice-03","1b285ad182618b2273b9884fdd20c838971f4726a97393afc1b1a72f3b075965","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-024","teacher-02","draft-3c9686dac6674cc4","g4-yes-no-practice-04","406644dde397721d5b16ca669917d4b6ff60427cbc327230c3ec2e4783c10995","","","","","","","","","","",""
"draft-3c9686dac6674cc4-teacher-02-025","teacher-02","draft-3c9686dac6674cc4","g4-yes-no-practice-05","9caaedbfa7bb69ea5c268f30de7dc9c22173b608673e2f53292f505b0f3f95cd","","","","","","","","","","",""
